Test
Sample	Base Mass	Observed Ion m/z	Group	Type	Name	CAS	Formula	InChIKey	Quant S/N	R.T. (min)	Quant Masses	Tailing Factor	Area	Area %	Stick Count	Concerns	Retention Index	Lib. RI	Similarity	Probability	Hit #	Peak Number	Hit 1 Name	Hit 1 Similarity	Hit 1 Probability	Hit 1 InChIKey	Hit 1 CAS	Hit 1 Formula	Hit 1 Contributor	Hit 1 Library	Hit 1 Lib. RI	Hit 2 Name	Hit 2 Similarity	Hit 2 Probability	Hit 2 InChIKey	Hit 2 CAS	Hit 2 Formula	Hit 2 Contributor	Hit 2 Library	Hit 2 Lib. RI	Hit 3 Name	Hit 3 Similarity	Hit 3 Probability	Hit 3 InChIKey	Hit 3 CAS	Hit 3 Formula	Hit 3 Contributor	Hit 3 Library	Hit 3 Lib. RI	Hit 4 Name	Hit 4 Similarity	Hit 4 Probability	Hit 4 InChIKey	Hit 4 CAS	Hit 4 Formula	Hit 4 Contributor	Hit 4 Library	Hit 4 Lib. RI	Hit 5 Name	Hit 5 Similarity	Hit 5 Probability	Hit 5 InChIKey	Hit 5 CAS	Hit 5 Formula	Hit 5 Contributor	Hit 5 Library	Hit 5 Lib. RI
200904_eQC4	147.10	187.53		Unknown	"Methanone, (2,3-dihydro-5-benzofuryl)(4-morpholyl)-"		C13H15NO3	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/VGOJQRUVWAQGBE-UHFFFAOYSA-N"">VGOJQRUVWAQGBE-UHFFFAOYSA-N</a>"	15689	8.53646	XIC(147.10±500ppm)	15.06	5397603334	1.602	15	Spectra Search{Unable to do spectral search}	893.4		808	53.7	1	3	"Methanone, (2,3-dihydro-5-benzofuryl)(4-morpholyl)-"	808	53.7	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/VGOJQRUVWAQGBE-UHFFFAOYSA-N"">VGOJQRUVWAQGBE-UHFFFAOYSA-N</a>"		C13H15NO3	"A.A.Kutin, Moscow, Russia"	mainlib		3-Methylbenzothiophene	792	30.9	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/SEBRPHZZSLCDRQ-UHFFFAOYSA-N"">SEBRPHZZSLCDRQ-UHFFFAOYSA-N</a>"	1455-18-1	C9H8S	TNO Volatile Compounds in Food - Chemical Concepts	mainlib	1315 ± 0(3)	"4-Formyl-3,5-dimethyl-1H-pyrrole-2-carbonitrile"	762	8.6	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/VIKAOEYUWJYWRC-UHFFFAOYSA-N"">VIKAOEYUWJYWRC-UHFFFAOYSA-N</a>"		C8H8N2O	"A.A.Kutin, Moscow, Russia"	mainlib		"Benzo[b]thiophene, 2-methyl-"	730	65.7	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/BLZKSRBAQDZAIX-UHFFFAOYSA-N"">BLZKSRBAQDZAIX-UHFFFAOYSA-N</a>"	1195-14-8	C9H8S	"Dr. Jiri Zamecnik, DCIEM, North York, Canada, GP Library"	replib	1293 ± 0(1)	"Benzo[b]thiophene, 2-methyl-"	711	1.7	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/BLZKSRBAQDZAIX-UHFFFAOYSA-N"">BLZKSRBAQDZAIX-UHFFFAOYSA-N</a>"	1195-14-8	C9H8S	TNO Volatile Compounds in Food - Chemical Concepts	mainlib	1293 ± 0(1)
200904_eQC4	86.18	191.81		Unknown	Tolycaine	3686-58-6	C15H22N2O3	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/UDKICLZCJWQTLS-UHFFFAOYSA-N"">UDKICLZCJWQTLS-UHFFFAOYSA-N</a>"	2246	8.53878	XIC(86.18±500ppm)	5.55	365951825	0.109	22	Spectra Search{Unable to do spectral search}	893.5		844	23.7	1	4	Tolycaine	844	23.7	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/UDKICLZCJWQTLS-UHFFFAOYSA-N"">UDKICLZCJWQTLS-UHFFFAOYSA-N</a>"	3686-58-6	C15H22N2O3	Finnigan MAT: Toxicological Library (LIBR-TX)	mainlib		"Benzenemethanol, a-[1-(ethylmethylamino)ethyl]-, [R-(R*,S*)]-"	836	17.6	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/IRVLBORJKFZWMI-UHFFFAOYSA-N"">IRVLBORJKFZWMI-UHFFFAOYSA-N</a>"	48141-64-6	C12H19NO	Finnigan MAT: Toxicological Library (LIBR-TX)	mainlib	1482 ± 6(3)	"1,3-Dioxol-2-one"	835	17.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/VAYTZRYEBVHVLE-UHFFFAOYSA-N"">VAYTZRYEBVHVLE-UHFFFAOYSA-N</a>"	872-36-6	C3H2O3	Japan AIST/NIMC Database- Spectrum MS-NW-2962	mainlib		2-Butyl-3-(4-ß-diethylaminoethoxybenzoyl)benzofuran	831	14.3	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/PNZXBMCTFUFPLR-UHFFFAOYSA-N"">PNZXBMCTFUFPLR-UHFFFAOYSA-N</a>"	23551-25-9	C25H31NO3	"Dr. Jiri Zamecnik, DCIEM, North York, Canada, GP Library"	mainlib		"Pyrrole-2,5-dicarboxylic acid, 4-(2-diethylamino)ethyl-3-methyl-, 2-ethyl ester"	806	4.4	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/ZSARZJDYSAEWKU-UHFFFAOYSA-N"">ZSARZJDYSAEWKU-UHFFFAOYSA-N</a>"	298687-37-3	C15H24N2O4	"A.A.Kutin, Moscow, Russia"	mainlib	
200904_eQC4	86.01	191.25		Unknown	"Methoxyamine, 2TMS derivative"	7266-76-4	C7H21NOSi2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	120913	8.97805	XIC(86.01±500ppm)	0.09	22945951387	6.810	179	Saturated; Spectra Search{Unable to do spectral search}	911.8		822	89.1	1	10	"Methoxyamine, 2TMS derivative"	822	89.1	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"NIST Mass Spectrometry Data Center, 2008"	mainlib		"Methoxyamine, 2TMS derivative"	819	95.9	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"D.HENNEBERG, MAX-PLANCK INSTITUTE, MULHEIM, WEST GERMANY"	replib		"Methoxyamine, 2TMS derivative"	799	95.9	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	Chemical Concepts	replib		"O-Ethylhydroxylamine, 2TMS derivative"	562	0.9	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/IIPXSPLATBUPGO-UHFFFAOYSA-N"">IIPXSPLATBUPGO-UHFFFAOYSA-N</a>"	959022-28-7	C8H23NOSi2	"G.S. KING, CHEM. PATHOL. DEP., QUEEN CHARLOTTE'S HOSP., LONDON"	replib		"10,10-Dimethyl-3,6,9,11,14,17-hexaoxa-10-silanonadecane"	561	0.9	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/SIUASNHUGIWDLB-UHFFFAOYSA-N"">SIUASNHUGIWDLB-UHFFFAOYSA-N</a>"		C14H32O6Si	"NIST Mass Spectrometry Data Center, 2010"	mainlib	
200904_eQC4	86.04	191.28		Unknown	"Methoxyamine, 2TMS derivative"	7266-76-4	C7H21NOSi2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	18401	8.99762	XIC(86.04±500ppm)	0.09	16894897030	5.014	240	Spectra Search{Unable to do spectral search}	912.6		764	97.0	1	12	"Methoxyamine, 2TMS derivative"	764	97.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	Chemical Concepts	replib		"Methoxyamine, 2TMS derivative"	750	87.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"NIST Mass Spectrometry Data Center, 2008"	mainlib		"Methoxyamine, 2TMS derivative"	743	97.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"D.HENNEBERG, MAX-PLANCK INSTITUTE, MULHEIM, WEST GERMANY"	replib		"2,3-Dihydro-4-methoxy-3,3-dimethylindole-2-one"	554	1.2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/AVMVHQUBMARWDA-UHFFFAOYSA-N"">AVMVHQUBMARWDA-UHFFFAOYSA-N</a>"	192928-47-5	C11H13NO2	"LAC, NIDDK, NIH, Bethesda, MD 20892"	mainlib		"10,10-Dimethyl-3,6,9,11,14,17-hexaoxa-10-silanonadecane"	553	1.2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/SIUASNHUGIWDLB-UHFFFAOYSA-N"">SIUASNHUGIWDLB-UHFFFAOYSA-N</a>"		C14H32O6Si	"NIST Mass Spectrometry Data Center, 2010"	mainlib	
200904_eQC4	85.99	191.00		Unknown	"Methoxyamine, 2TMS derivative"	7266-76-4	C7H21NOSi2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	14783	9.0074	XIC(85.99±500ppm)	0.06	12106355462	3.593	216	Spectra Search{Unable to do spectral search}	913.0		831	96.8	1	13	"Methoxyamine, 2TMS derivative"	831	96.8	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"D.HENNEBERG, MAX-PLANCK INSTITUTE, MULHEIM, WEST GERMANY"	replib		"Methoxyamine, 2TMS derivative"	819	95.4	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"NIST Mass Spectrometry Data Center, 2008"	mainlib		"Methoxyamine, 2TMS derivative"	807	96.8	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	Chemical Concepts	replib		"2-[(2-Hydroxyethyl)(2-((trimethylsilyl)oxy)ethyl)amino]acetic acid, methyl ester"	584	0.9	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/XBDNVGJJKMPBOX-UHFFFAOYSA-N"">XBDNVGJJKMPBOX-UHFFFAOYSA-N</a>"		C10H23NO4Si	"NIST Mass Spectrometry Data Center, 2010"	mainlib	1514 ± 0(1)	"Diethanolamine, 2TMS derivative"	567	0.5	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/KBFQZANWBGZASX-UHFFFAOYSA-N"">KBFQZANWBGZASX-UHFFFAOYSA-N</a>"	20836-40-2	C10H27NO2Si2	"CBDCOM/ERDEC, Edgewood, MD"	mainlib	
200904_eQC4	146.08	191.14		Unknown	"Methoxyamine, 2TMS derivative"	7266-76-4	C7H21NOSi2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	5286	9.01622	XIC(146.08±500ppm)	0.09	1419242274	0.421	96	Spectra Search{Unable to do spectral search}	913.3		873	98.7	1	14	"Methoxyamine, 2TMS derivative"	873	98.7	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	Chemical Concepts	replib		"Methoxyamine, 2TMS derivative"	868	96.4	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"NIST Mass Spectrometry Data Center, 2008"	mainlib		"Methoxyamine, 2TMS derivative"	861	98.7	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"D.HENNEBERG, MAX-PLANCK INSTITUTE, MULHEIM, WEST GERMANY"	replib		Hexamethyldisilazane	649	1.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FFUAGWLWBBFQJT-UHFFFAOYSA-N"">FFUAGWLWBBFQJT-UHFFFAOYSA-N</a>"	999-97-3	C6H19NSi2	"ORMSBG,10(10)859(1975); J. TAMAS"	replib	686 ± 0(1)	"Glucopyranose, 2,4-di-O-methyl-1,3,6-tris-O-(trimethylsilyl)-"	640	1.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/VAYSPDPTAXPXET-UHFFFAOYSA-N"">VAYSPDPTAXPXET-UHFFFAOYSA-N</a>"	55400-19-6	C17H40O6Si3		mainlib	
200904_eQC4	73.08	161.12		Unknown	"L-Alanine, TMS derivative"		C6H15NO2Si	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/OTZAXEIMULLWKT-UHFFFAOYSA-N"">OTZAXEIMULLWKT-UHFFFAOYSA-N</a>"	2151	9.21432	XIC(73.08±500ppm)	11.00	389676417	0.116	199	Spectra Search{Unable to do spectral search}	921.6	932 ± 0(1)	757	71.3	1	28	"L-Alanine, TMS derivative"	757	71.3	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/OTZAXEIMULLWKT-UHFFFAOYSA-N"">OTZAXEIMULLWKT-UHFFFAOYSA-N</a>"		C6H15NO2Si	NIST Mass Spectrometry Data Center	mainlib	932 ± 0(1)	"L-Alanine, tert.-butyldimethylsilyl ester"	696	12.4	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/NYRRDAIAPQZJNW-UHFFFAOYSA-N"">NYRRDAIAPQZJNW-UHFFFAOYSA-N</a>"		C9H21NO2Si	"NIST Mass Spectrometry Data Center, 2016"	mainlib	1170 ± 0(1)	"L-Alanine, TBDMS derivative"	690	9.8	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/NYRRDAIAPQZJNW-UHFFFAOYSA-N"">NYRRDAIAPQZJNW-UHFFFAOYSA-N</a>"		C9H21NO2Si	NIST Mass Spectrometry Data Center	mainlib	1164 ± 0(1)	"Homocysteine thiolactone, TMS derivative"	635	1.9	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/GFSNWMLVFYNVRW-UHFFFAOYSA-N"">GFSNWMLVFYNVRW-UHFFFAOYSA-N</a>"	55517-34-5	C7H15NOSSi	"S. MARKEY UNIV. OF COLO. MED. CTR., DENVER, COLORADO, USA"	mainlib		"Ethanamine, 2TMS derivative"	605	34.1	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/OGWVYCFORNDBRE-UHFFFAOYSA-N"">OGWVYCFORNDBRE-UHFFFAOYSA-N</a>"	2477-39-6	C8H23NSi2	"CBDCOM/ERDEC, Edgewood, MD"	replib	
200904_eQC4	77.05	77.05		Unknown	"Acetamide, 2-fluoro-"	640-19-7	C2H4FNO	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FVTWJXMFYOXOKK-UHFFFAOYSA-N"">FVTWJXMFYOXOKK-UHFFFAOYSA-N</a>"	638	9.3871	XIC(77.05±500ppm)	2.56	156303230	0.046	39	Spectra Search{Unable to do spectral search}	928.8		795	82.7	1	41	"Acetamide, 2-fluoro-"	795	82.7	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FVTWJXMFYOXOKK-UHFFFAOYSA-N"">FVTWJXMFYOXOKK-UHFFFAOYSA-N</a>"	640-19-7	C2H4FNO	Japan AIST/NIMC Database- Spectrum MS-NW-2989	mainlib		"Acetamide, 2-fluoro-"	771	91.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FVTWJXMFYOXOKK-UHFFFAOYSA-N"">FVTWJXMFYOXOKK-UHFFFAOYSA-N</a>"	640-19-7	C2H4FNO	RADIAN CORP	replib		"Silanediol, dimethyl-"	721	11.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/XCLIHDJZGPCUBT-UHFFFAOYSA-N"">XCLIHDJZGPCUBT-UHFFFAOYSA-N</a>"	1066-42-8	C2H8O2Si	"Spectrum from AMDIS from data file provided by Jeffery A, Rutz of Wyle Integrated Science and Engineering, a NASA contractor"	mainlib		"1,3-Oxazetidin-2-one, 3-phenyl-"	675	2.3	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/GWZJVXFKDKOJPE-UHFFFAOYSA-N"">GWZJVXFKDKOJPE-UHFFFAOYSA-N</a>"	16877-22-8	C8H7NO2	"S.OZAKI TOYO KOATSU IND. INC., KUDEN, YOKOHAMA, JAPAN."	mainlib		"1,5-Hexadiene, 3,3,4,4-tetrafluoro-"	674	2.2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/AKAQZCPDRXZZJS-UHFFFAOYSA-N"">AKAQZCPDRXZZJS-UHFFFAOYSA-N</a>"	1763-21-9	C6H6F4	"E.SANTORO MONTEDISON S.P.A., RESEARCH CENTRE, MILAN, ITALY"	mainlib	
200904_eQC4	171.16	186.12		Unknown	"Silanamine, N,N'-methanetetraylbis[1,1,1-trimethyl-"	1000-70-0	C7H18N2Si2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/KSVMTHKYDGMXFJ-UHFFFAOYSA-N"">KSVMTHKYDGMXFJ-UHFFFAOYSA-N</a>"	393048	9.45252	XIC(171.16±500ppm)	0.23	21317832366	6.327	243	Spectra Search{Unable to do spectral search}	931.5	964 ± 0(1)	897	94.7	1	46	"Silanamine, N,N'-methanetetraylbis[1,1,1-trimethyl-"	897	94.7	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/KSVMTHKYDGMXFJ-UHFFFAOYSA-N"">KSVMTHKYDGMXFJ-UHFFFAOYSA-N</a>"	1000-70-0	C7H18N2Si2	Chemical Concepts	replib	964 ± 0(1)	"Silanamine, N,N'-methanetetraylbis[1,1,1-trimethyl-"	831	90.4	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/KSVMTHKYDGMXFJ-UHFFFAOYSA-N"">KSVMTHKYDGMXFJ-UHFFFAOYSA-N</a>"	1000-70-0	C7H18N2Si2	"J.E. DRAKE, DEP. CHEM., WINDSOR UNIV., ONTARIO, CANAhy"	mainlib	964 ± 0(1)	"2,2-Dimethyl-6-vinyl-2H-chromene"	628	0.9	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/IGPYBWWHHSNJDY-UHFFFAOYSA-N"">IGPYBWWHHSNJDY-UHFFFAOYSA-N</a>"	164984-44-5	C13H14O	NIST Mass Spectrometry Data Center	mainlib	1450 ± 0(1)	1-Allyl-1H-tetraazol-5-amine ditms	622	0.7	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/IOEILMMYBMSZDJ-UHFFFAOYSA-N"">IOEILMMYBMSZDJ-UHFFFAOYSA-N</a>"		C10H23N5Si2	"John Halket,Royal Holloway, University of London, UK"	mainlib		"Thiourea, 2TMS derivative"	621	0.7	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/YCCCUPULLOXSAI-UHFFFAOYSA-N"">YCCCUPULLOXSAI-UHFFFAOYSA-N</a>"	13722-30-0	C7H20N2SSi2	"O A MAMER, MCGILL UNIVERSITY, MONTRE"	mainlib	
200904_eQC4	75.05	75.05		Unknown	"Carbamic acid, methyl ester"	598-55-0	C2H5NO2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/GTCAXTIRRLKXRU-UHFFFAOYSA-N"">GTCAXTIRRLKXRU-UHFFFAOYSA-N</a>"	828	9.47376	XIC(75.05±500ppm)	0.23	160234595	0.048	68	Spectra Search{Unable to do spectral search}	932.4		722	29.4	1	48	"Carbamic acid, methyl ester"	722	29.4	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/GTCAXTIRRLKXRU-UHFFFAOYSA-N"">GTCAXTIRRLKXRU-UHFFFAOYSA-N</a>"	598-55-0	C2H5NO2	"INST.OF CLINICAL BIOCHEM,RIKSHOSP,UNIV.OF OSLO,E.JELLUM,ET.A"	replib		Methylal	720	27.1	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/NKDDWNXOKDWJAK-UHFFFAOYSA-N"">NKDDWNXOKDWJAK-UHFFFAOYSA-N</a>"	109-87-5	C3H8O2	"YAMAMOTO M, DEP. CHEMISTRY, FAC. SCIENCE, NARA WOMEN'S UNIV.; Used with permission, courtesy of Funatsu Laboratory, University of Tokyo.The copyright reserved by Funatsu Laboratory."	replib	500 ± 0(1)	Glycolaldehyde dimethyl acetal	717	27.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/NYPNCQTUZYWFGG-UHFFFAOYSA-N"">NYPNCQTUZYWFGG-UHFFFAOYSA-N</a>"	30934-97-5	C4H10O3	NIST Mass Spectrometry Data Center	mainlib		Methylal	705	17.9	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/NKDDWNXOKDWJAK-UHFFFAOYSA-N"">NKDDWNXOKDWJAK-UHFFFAOYSA-N</a>"	109-87-5	C3H8O2		mainlib	500 ± 0(1)	"Acetic acid, dimethoxy-, methyl ester"	705	16.4	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/NZTCVGHPDWAALP-UHFFFAOYSA-N"">NZTCVGHPDWAALP-UHFFFAOYSA-N</a>"	89-91-8	C5H10O4	RADIAN CORP	replib	
